fine_label,coarse_label,n_samples,mean_cosine_distance,var_cosine_distance,std_cosine_distance,min_cosine_distance,max_cosine_distance
regulatory--maximum-speed-limit-10--g1,regulatory,115,0.28009623289108276,0.011576447635889053,0.10759390145540237,0.12426424026489258,0.5841635465621948
regulatory--maximum-speed-limit-100--g1,regulatory,194,0.28816089034080505,0.011022317223250866,0.10498722642660141,0.1206364631652832,0.6390267014503479
regulatory--maximum-speed-limit-100--g3,regulatory,94,0.12496235221624374,0.0023168798070400953,0.0481339767575264,0.05158358812332153,0.27802222967147827
regulatory--maximum-speed-limit-110--g1,regulatory,121,0.25428107380867004,0.008831408806145191,0.09397557377815247,0.10273081064224243,0.551048994064331
regulatory--maximum-speed-limit-120--g1,regulatory,108,0.25652873516082764,0.007119948044419289,0.08437978476285934,0.130804181098938,0.5689138174057007
regulatory--maximum-speed-limit-15--g1,regulatory,29,0.29004254937171936,0.007750659249722958,0.08803782612085342,0.15597927570343018,0.5230323076248169
regulatory--maximum-speed-limit-20--g1,regulatory,239,0.290699303150177,0.014594392850995064,0.12080725282430649,0.10260319709777832,0.6461927890777588
regulatory--maximum-speed-limit-25--g1,regulatory,45,0.2827203869819641,0.010105457156896591,0.10052590072154999,0.13140803575515747,0.6531975865364075
regulatory--maximum-speed-limit-25--g2,regulatory,212,0.2398902177810669,0.013386708684265614,0.11570094525814056,0.07166588306427002,0.6404590010643005
regulatory--maximum-speed-limit-30--g1,regulatory,776,0.28721076250076294,0.015036708675324917,0.12262425571680069,0.09344267845153809,0.7693527340888977
regulatory--maximum-speed-limit-30--g3,regulatory,101,0.2324170470237732,0.014171203598380089,0.11904286593198776,0.07706528902053833,0.75867760181427
regulatory--maximum-speed-limit-35--g2,regulatory,161,0.24039310216903687,0.013623293489217758,0.11671886593103409,0.0841759443283081,0.6301469206809998
regulatory--maximum-speed-limit-40--g1,regulatory,1012,0.3077321946620941,0.012133204378187656,0.11015082895755768,0.10961246490478516,0.7443739771842957
regulatory--maximum-speed-limit-40--g3,regulatory,99,0.23761418461799622,0.012572823092341423,0.1121286004781723,0.08447909355163574,0.6732842922210693
regulatory--maximum-speed-limit-40--g6,regulatory,18,0.1807597428560257,0.007698348723351955,0.08774023503065109,0.0753706693649292,0.45891833305358887
regulatory--maximum-speed-limit-45--g1,regulatory,43,0.32206058502197266,0.010916867293417454,0.10448381304740906,0.17520570755004883,0.5516858100891113
regulatory--maximum-speed-limit-45--g3,regulatory,102,0.24253447353839874,0.008789069950580597,0.09375003725290298,0.07882249355316162,0.46819114685058594
regulatory--maximum-speed-limit-5--g1,regulatory,107,0.30189231038093567,0.014010746031999588,0.11836699396371841,0.11171334981918335,0.6246479749679565
regulatory--maximum-speed-limit-50--g1,regulatory,704,0.2795266807079315,0.011995312757790089,0.10952311754226685,0.11111998558044434,0.7851054072380066
regulatory--maximum-speed-limit-50--g6,regulatory,33,0.19679638743400574,0.012159323319792747,0.11026932299137115,0.0880967378616333,0.48053693771362305
regulatory--maximum-speed-limit-55--g2,regulatory,144,0.24920207262039185,0.009327630512416363,0.0965796560049057,0.08769381046295166,0.5712623596191406
regulatory--maximum-speed-limit-60--g1,regulatory,678,0.30721035599708557,0.010768108069896698,0.10376949608325958,0.11825597286224365,0.6789891719818115
regulatory--maximum-speed-limit-65--g2,regulatory,29,0.20970642566680908,0.008417513221502304,0.09174700826406479,0.0833890438079834,0.46221864223480225
regulatory--maximum-speed-limit-70--g1,regulatory,345,0.27632445096969604,0.013466572389006615,0.11604556441307068,0.0912092924118042,0.70744788646698
regulatory--maximum-speed-limit-80--g1,regulatory,449,0.27439039945602417,0.010293686762452126,0.10145780444145203,0.10365712642669678,0.7193713188171387
regulatory--maximum-speed-limit-90--g1,regulatory,279,0.28060802817344666,0.009339430369436741,0.09664072841405869,0.09565269947052002,0.6435440182685852
regulatory--maximum-speed-limit-led-100--g1,regulatory,74,0.23990260064601898,0.009935768321156502,0.09967832267284393,0.10342556238174438,0.6964035034179688
regulatory--maximum-speed-limit-led-60--g1,regulatory,62,0.24263902008533478,0.006091555114835501,0.07804841548204422,0.07564783096313477,0.43022942543029785
regulatory--maximum-speed-limit-led-80--g1,regulatory,50,0.25015950202941895,0.008394414559006691,0.0916210412979126,0.10960918664932251,0.5889243483543396
regulatory--minimum-safe-distance--g1,regulatory,33,0.29964756965637207,0.006434366572648287,0.0802145004272461,0.1813950538635254,0.5191704630851746
regulatory--mopeds-and-bicycles-only--g1,regulatory,115,0.30188509821891785,0.008171855472028255,0.09039831906557083,0.13581037521362305,0.531779408454895
regulatory--no-bicycles--g1,regulatory,73,0.3245878219604492,0.011545926332473755,0.10745197534561157,0.1314605474472046,0.6442031860351562
regulatory--no-bicycles--g2,regulatory,76,0.2582242488861084,0.00961855798959732,0.09807424992322922,0.09293580055236816,0.5009397268295288
regulatory--no-bicycles--g3,regulatory,40,0.29998087882995605,0.009904890321195126,0.09952331334352493,0.11252307891845703,0.5004860162734985
regulatory--no-buses--g3,regulatory,53,0.2695634365081787,0.012452853843569756,0.1115923523902893,0.14421403408050537,0.6222909092903137
regulatory--no-entry--g1,regulatory,2049,0.3557600677013397,0.010443315841257572,0.10219254344701767,0.1520836353302002,0.7995988130569458
regulatory--no-hawkers--g1,regulatory,18,0.24128977954387665,0.0073491898365318775,0.08572741597890854,0.10631716251373291,0.4558035135269165
regulatory--no-heavy-goods-vehicles--g1,regulatory,361,0.35338008403778076,0.0100602051243186,0.10030057281255722,0.14399874210357666,0.7688046097755432
regulatory--no-heavy-goods-vehicles--g2,regulatory,441,0.3190285563468933,0.01091901957988739,0.104494109749794,0.14052754640579224,0.6387856006622314
regulatory--no-heavy-goods-vehicles--g4,regulatory,319,0.2322540581226349,0.012039350345730782,0.10972397029399872,0.07656610012054443,0.729619562625885
regulatory--no-heavy-goods-vehicles--g5,regulatory,49,0.27498775720596313,0.018066054210066795,0.13441002368927002,0.09420573711395264,0.6456543207168579
regulatory--no-heavy-goods-vehicles-or-buses--g1,regulatory,27,0.30769214034080505,0.021313810721039772,0.14599250257015228,0.11852109432220459,0.7063507437705994
regulatory--no-left-turn--g1,regulatory,475,0.34360021352767944,0.014626815915107727,0.12094137072563171,0.1359713077545166,0.7929731607437134
regulatory--no-left-turn--g2,regulatory,73,0.3000447750091553,0.012875165790319443,0.11346878856420517,0.116535484790802,0.6032743453979492
regulatory--no-left-turn--g3,regulatory,28,0.26766422390937805,0.02022896334528923,0.14222855865955353,0.11047500371932983,0.5605778098106384
regulatory--no-mopeds-or-bicycles--g1,regulatory,31,0.28651416301727295,0.009313452057540417,0.09650623053312302,0.14253836870193481,0.5279201865196228
regulatory--no-motor-vehicle-trailers--g1,regulatory,38,0.294586181640625,0.011191821657121181,0.10579140484333038,0.12070703506469727,0.5580238103866577
regulatory--no-motor-vehicles--g1,regulatory,33,0.3197426497936249,0.012539426796138287,0.11197958141565323,0.17689383029937744,0.6280638575553894
regulatory--no-motor-vehicles--g4,regulatory,26,0.3252193331718445,0.020115546882152557,0.14182928204536438,0.16287606954574585,0.6468479633331299
regulatory--no-motor-vehicles-except-motorcycles--g1,regulatory,58,0.34151700139045715,0.011593570001423359,0.10767344385385513,0.1806861162185669,0.6784892082214355
regulatory--no-motor-vehicles-except-motorcycles--g2,regulatory,128,0.32234060764312744,0.011323666200041771,0.10641271620988846,0.11175304651260376,0.6720716953277588
regulatory--no-motorcycles--g1,regulatory,92,0.3135315477848053,0.009268658235669136,0.09627386927604675,0.10336929559707642,0.5986529588699341
regulatory--no-motorcycles--g2,regulatory,67,0.29891276359558105,0.01130288653075695,0.10631503164768219,0.16338592767715454,0.6779619455337524
regulatory--no-overtaking--g1,regulatory,278,0.3178730010986328,0.009160622954368591,0.09571114182472229,0.1337490677833557,0.6272393465042114
regulatory--no-overtaking--g2,regulatory,226,0.2738649249076843,0.011093099601566792,0.10532378405332565,0.09034878015518188,0.6870852112770081
regulatory--no-overtaking--g4,regulatory,56,0.2761760354042053,0.011146931909024715,0.10557903349399567,0.13234949111938477,0.5388692021369934
regulatory--no-overtaking--g5,regulatory,379,0.2699834406375885,0.008045057766139507,0.08969424664974213,0.10266607999801636,0.5665738582611084
regulatory--no-overtaking-by-heavy-goods-vehicles--g1,regulatory,61,0.3067623972892761,0.00882741529494524,0.09395432472229004,0.16896629333496094,0.553790807723999
regulatory--no-parking--g1,regulatory,1195,0.3204532563686371,0.011136846616864204,0.10553126037120819,0.11409866809844971,0.7791800498962402
regulatory--no-parking--g2,regulatory,600,0.3108413517475128,0.013536747545003891,0.1163475289940834,0.11888527870178223,0.7372539639472961
regulatory--no-parking--g5,regulatory,586,0.311090350151062,0.011400890536606312,0.1067749559879303,0.12465840578079224,0.7382864356040955
regulatory--no-parking-or-no-stopping--g1,regulatory,120,0.27555614709854126,0.012090262025594711,0.10995572805404663,0.09778487682342529,0.5783350467681885
regulatory--no-parking-or-no-stopping--g2,regulatory,111,0.2765040993690491,0.010892285034060478,0.10436610877513885,0.09941846132278442,0.5621623992919922
regulatory--no-parking-or-no-stopping--g3,regulatory,107,0.2866738438606262,0.008388887159526348,0.09159086644649506,0.14661169052124023,0.5418888330459595
regulatory--no-pedestrians--g1,regulatory,79,0.2734321355819702,0.012255010195076466,0.11070235073566437,0.11175596714019775,0.6191123127937317
regulatory--no-pedestrians--g2,regulatory,206,0.2989298403263092,0.016501547768712044,0.12845835089683533,0.12532967329025269,0.7376060485839844
regulatory--no-pedestrians--g3,regulatory,20,0.3069998323917389,0.015939772129058838,0.12625281512737274,0.1401447057723999,0.5852892398834229
regulatory--no-pedestrians-or-bicycles--g1,regulatory,19,0.20718888938426971,0.011651512235403061,0.10794217139482498,0.10922563076019287,0.5120640993118286
regulatory--no-right-turn--g1,regulatory,340,0.30955711007118225,0.019265327602624893,0.13879959285259247,0.10130351781845093,0.803669810295105
regulatory--no-right-turn--g2,regulatory,113,0.3222496211528778,0.010800369083881378,0.10392482578754425,0.138877272605896,0.6763246059417725
regulatory--no-right-turn--g3,regulatory,12,0.2225540280342102,0.005893993657082319,0.07677234709262848,0.10118025541305542,0.3632488250732422
regulatory--no-stopping--g15,regulatory,1237,0.32284051179885864,0.011706983670592308,0.10819881409406662,0.1214480996131897,0.6975990533828735
regulatory--no-stopping--g2,regulatory,338,0.3207647502422333,0.010265786200761795,0.10132021456956863,0.13627415895462036,0.6219872236251831
regulatory--no-stopping--g4,regulatory,32,0.310359925031662,0.00785990059375763,0.08865608274936676,0.18522560596466064,0.5411456823348999
regulatory--no-stopping--g5,regulatory,174,0.3388766050338745,0.011836796998977661,0.10879704356193542,0.16115808486938477,0.6894963979721069
regulatory--no-stopping--g8,regulatory,42,0.3297417461872101,0.011607134714722633,0.10773641616106033,0.17589104175567627,0.6729893088340759
regulatory--no-straight-through--g1,regulatory,78,0.3078252077102661,0.01766541600227356,0.1329113095998764,0.11587589979171753,0.667095959186554
regulatory--no-straight-through--g2,regulatory,32,0.32803311944007874,0.01028410904109478,0.10141059756278992,0.19808745384216309,0.5611264705657959
regulatory--no-turn-on-red--g1,regulatory,104,0.2616216838359833,0.011740385554730892,0.10835305601358414,0.08423846960067749,0.6007364392280579
regulatory--no-turn-on-red--g2,regulatory,102,0.24079518020153046,0.00873024296015501,0.09343577176332474,0.09182155132293701,0.5856930017471313
regulatory--no-turn-on-red--g3,regulatory,60,0.2403232753276825,0.013044441118836403,0.114212267100811,0.10719132423400879,0.5558024644851685
regulatory--no-turns--g1,regulatory,30,0.25114622712135315,0.009383476339280605,0.09686834365129471,0.11858397722244263,0.6093535423278809
regulatory--no-u-turn--g1,regulatory,466,0.2850709557533264,0.013675433583557606,0.11694201081991196,0.11082106828689575,0.7400253415107727
regulatory--no-u-turn--g2,regulatory,47,0.26980772614479065,0.0088094687089324,0.09385877102613449,0.10881304740905762,0.5642777681350708
regulatory--no-u-turn--g3,regulatory,124,0.2817665636539459,0.014589275233447552,0.12078607082366943,0.1116560697555542,0.7277935743331909
regulatory--no-vehicles-carrying-dangerous-goods--g1,regulatory,121,0.29743799567222595,0.007074134424328804,0.08410787582397461,0.11379098892211914,0.6591066122055054
regulatory--one-way-left--g1,regulatory,372,0.3514460623264313,0.011221779510378838,0.10593289881944656,0.13497084379196167,0.6569621562957764
regulatory--one-way-left--g2,regulatory,149,0.28727394342422485,0.011121177114546299,0.10545699298381805,0.11029720306396484,0.6290053725242615
regulatory--one-way-left--g3,regulatory,348,0.34319016337394714,0.01058201678097248,0.1028689295053482,0.15427780151367188,0.7188032865524292
regulatory--one-way-right--g1,regulatory,276,0.3513818383216858,0.009372198022902012,0.09681010991334915,0.1736440658569336,0.716741681098938
regulatory--one-way-right--g2,regulatory,101,0.28838127851486206,0.014227342791855335,0.1192784234881401,0.1178363561630249,0.6249313950538635
regulatory--one-way-right--g3,regulatory,323,0.3433382511138916,0.010115550830960274,0.10057609528303146,0.14706385135650635,0.7287886142730713
regulatory--one-way-straight--g1,regulatory,530,0.3147605359554291,0.01273457333445549,0.11284756660461426,0.12648999691009521,0.6667768955230713
regulatory--parking-restrictions--g2,regulatory,58,0.2649233341217041,0.007980920374393463,0.08933600038290024,0.13494712114334106,0.596053957939148
regulatory--pass-on-either-side--g1,regulatory,306,0.3163417875766754,0.01160226110368967,0.10771379619836807,0.1294223666191101,0.6587225198745728
regulatory--pass-on-either-side--g2,regulatory,56,0.31368592381477356,0.014827881939709187,0.12176979333162308,0.1318756341934204,0.6285105347633362
regulatory--passing-lane-ahead--g1,regulatory,47,0.274651437997818,0.010900391265749931,0.10440494120121002,0.1188507080078125,0.5456503033638
regulatory--pedestrians-only--g1,regulatory,177,0.3276505768299103,0.013786040246486664,0.1174139678478241,0.13372951745986938,0.6581302881240845
regulatory--pedestrians-only--g2,regulatory,70,0.29602742195129395,0.008853086270391941,0.09409084171056747,0.1472553014755249,0.578476071357727
regulatory--priority-over-oncoming-vehicles--g1,regulatory,116,0.22492532432079315,0.00921362079679966,0.09598761051893234,0.0805554986000061,0.6259810924530029
regulatory--priority-road--g4,regulatory,1212,0.35581648349761963,0.012355604209005833,0.11115576326847076,0.1397613286972046,0.7433545589447021
regulatory--radar-enforced--g1,regulatory,102,0.3072032332420349,0.01110523846000433,0.10538139194250107,0.11990886926651001,0.6051067113876343
regulatory--reversible-lanes--g2,regulatory,118,0.261570006608963,0.01184659730643034,0.10884207487106323,0.10844564437866211,0.5801965594291687
regulatory--road-closed--g1,regulatory,34,0.33070871233940125,0.009937060996890068,0.09968480467796326,0.1766108274459839,0.53346848487854
regulatory--road-closed--g2,regulatory,83,0.258315771818161,0.013196397572755814,0.11487557739019394,0.08835482597351074,0.5755512714385986
regulatory--road-closed-to-vehicles--g1,regulatory,40,0.2929385304450989,0.013987556099891663,0.11826899647712708,0.1213524341583252,0.6398658156394958
regulatory--road-closed-to-vehicles--g3,regulatory,270,0.37469375133514404,0.011779459193348885,0.10853321850299835,0.14009451866149902,0.6883172988891602
regulatory--roundabout--g1,regulatory,407,0.33594897389411926,0.00925765372812748,0.09621670097112656,0.12697118520736694,0.6539755463600159
regulatory--roundabout--g2,regulatory,14,0.2774973511695862,0.008779310621321201,0.09369797259569168,0.15969669818878174,0.47586655616760254
regulatory--shared-path-bicycles-and-pedestrians--g1,regulatory,20,0.320461243391037,0.005675361957401037,0.07533499598503113,0.1601349115371704,0.5257554054260254
regulatory--shared-path-pedestrians-and-bicycles--g1,regulatory,241,0.314779132604599,0.009539776481688023,0.09767177700996399,0.1309889554977417,0.6333190202713013
regulatory--stop--g1,regulatory,1386,0.3039982318878174,0.014594538137316704,0.12080785632133484,0.10240542888641357,0.8029448986053467
regulatory--stop--g10,regulatory,52,0.3094480335712433,0.011163562536239624,0.10565776377916336,0.14239275455474854,0.6439543962478638
regulatory--stop--g2,regulatory,53,0.3269726634025574,0.0077800326980650425,0.08820449560880661,0.15345704555511475,0.5945419669151306
regulatory--stop-here-on-red-or-flashing-light--g1,regulatory,86,0.24536915123462677,0.012919253669679165,0.11366289854049683,0.09401392936706543,0.6525420546531677
regulatory--stop-here-on-red-or-flashing-light--g2,regulatory,49,0.2165745496749878,0.007885894738137722,0.08880256116390228,0.08519965410232544,0.47795677185058594
regulatory--stop-signals--g1,regulatory,50,0.3186165988445282,0.008589678443968296,0.09268052130937576,0.17500942945480347,0.5464727282524109
regulatory--text-four-lines--g1,regulatory,37,0.26571860909461975,0.008137614466249943,0.09020872414112091,0.13750481605529785,0.47805535793304443
regulatory--triple-lanes-turn-left-center-lane--g1,regulatory,51,0.2881045341491699,0.008433163166046143,0.09183225780725479,0.14767718315124512,0.5160048604011536
regulatory--truck-speed-limit-60--g1,regulatory,10,0.25352269411087036,0.00917954184114933,0.0958099290728569,0.14650452136993408,0.4728279709815979
regulatory--turn-left--g1,regulatory,170,0.3330696225166321,0.01274734828621149,0.1129041537642479,0.12285405397415161,0.6105656623840332
regulatory--turn-left--g2,regulatory,246,0.30062878131866455,0.011942888610064983,0.10928352177143097,0.12127995491027832,0.6512479782104492
regulatory--turn-left--g3,regulatory,114,0.342263787984848,0.010910681448876858,0.10445420444011688,0.15461570024490356,0.619210958480835
regulatory--turn-left-ahead--g1,regulatory,89,0.3371039032936096,0.011741758324205875,0.10835939645767212,0.1615762710571289,0.6138005256652832
regulatory--turn-right--g1,regulatory,314,0.3325110673904419,0.012585963122546673,0.11218717694282532,0.12946146726608276,0.7197557687759399
regulatory--turn-right--g2,regulatory,100,0.3543992340564728,0.0134279178455472,0.11587889492511749,0.1666528582572937,0.7768417596817017
regulatory--turn-right--g3,regulatory,131,0.28708794713020325,0.01271851360797882,0.11277639120817184,0.10062521696090698,0.6260186433792114
regulatory--turn-right-ahead--g1,regulatory,204,0.3384261131286621,0.011804969981312752,0.10865067690610886,0.14633703231811523,0.70399409532547
regulatory--turn-right-ahead--g2,regulatory,42,0.345698744058609,0.007894761860370636,0.08885247260332108,0.1713552474975586,0.5657179355621338
regulatory--turning-vehicles-yield-to-pedestrians--g1,regulatory,6,0.20182783901691437,0.0012517261784523726,0.035379741340875626,0.1438363790512085,0.2536219358444214
regulatory--u-turn--g1,regulatory,83,0.2707967758178711,0.013374390080571175,0.11564769595861435,0.09287899732589722,0.5843158960342407
regulatory--weight-limit--g1,regulatory,221,0.27925539016723633,0.014046501368284225,0.1185179352760315,0.0956186056137085,0.7758891582489014
